ANIO;MES;APELLIDO;NOMBRES;CARGO;ASIG_MENSUALES;SALARIO_FAMILIAR;DESCUENTOS_MENSUALES;LIQUIDO
2012;MARZO;MONZO;EMILIO;MINISTRO;25080;0;10142,5;14937,5
2012;MARZO;STANLEY;CAROLINA;MINISTRO;25080;0;10735,4;14344,6
2012;MARZO;LOMBARDI;HERNAN SANTIAGO;MINISTRO;25080;0;10532;14548
2012;MARZO;SANTILLI;DIEGO CESAR;MINISTRO;25080;0;1157,62;23922,4
2012;MARZO;MONTENEGRO;GUILLERMO TRISTAN;MINISTRO;25080;0;10760,7;14319,3
2012;MARZO;IBARRA;ANDRES HORACIO;MINISTRO;25080;0;11756,1;13323,9
2012;MARZO;REYBAUD;GRACIELA MABEL;MINISTRO;20064;0;8826,45;11237,5
2012;MARZO;CLUSELLAS;PABLO;SECRETARIO LEGAL Y TECNICO;23826;0;9364,02;14462
2012;MARZO;DE GODOY;MIGUEL ANGEL;SECRETARIO MEDIOS;23826;0;10456,5;13369,5
2012;MARZO;KLEMENSIEWICZ;MARINA;SECRETARIA HABITAT;23826;0;9429,55;14396,5
2012;MARZO;MACCHIAVELLI;EDUARDO ALBERTO;SECRETARIO ATENC.CIUD;24707;539;9756,01;14951
2012;MARZO;LOSTRI;HECTOR ANTONIO;SECRETARIO GRAL. PLANEAMIENTO;25080;0;10013,8;15066,2
2012;MARZO;PEÑA;MARCOS;SECRETARIO GENERAL;25382;302;10668;14714
2012;MARZO;SALVAI;CARLOS FEDERICO;SECRETARIO GRAL. DES.CUIDADANO;23826;0;11191,2;12634,8
2012;MARZO;GAYTAN;PABLO;SECRETARIO GRAL COMUNICACIÓN;23826;0;10456,5;13369,5
2012;ABRIL;MACRI;MAURICIO;JEFE DE GOBIERNO;6300;0;1089,9;5210,1
2012;ABRIL;VIDAL;MARIA EUGENIA;VICEJEFA DE GOBIERNO;35502,4;0;18251,7;17250,7
2012;ABRIL;RODRIGUEZ LARRETA;HORACIO ANTONIO;JEFE DE GABINETE;25080;0;11989,4;13090,6
2012;ABRIL;GRINDETTI;NESTOR OSVALDO;MINISTRO;25080;0;10448;14632
2012;ABRIL;BULLRICH;ESTEBAN JOSE;MINISTRO;25080;0;11742,9;13337,1
2012;ABRIL;CABRERA;FRANCISCO ADOLFO;MINISTRO;25080;0;10662,1;14417,9
2012;ABRIL;CHAIN;DANIEL GUSTAVO;MINISTRO;25080;0;11182,3;13897,7
2012;ABRIL;MONZO;EMILIO;MINISTRO;25711,5;631,5;11611,6;14099,9
2012;ABRIL;STANLEY;CAROLINA;MINISTRO;25080;0;10958,3;14121,7
2012;ABRIL;LOMBARDI;HERNAN SANTIAGO;MINISTRO;25080;0;10636,8;14443,2
2012;ABRIL;SANTILLI;DIEGO CESAR;MINISTRO;25080;0;10358;14722
2012;ABRIL;MONTENEGRO;GUILLERMO TRISTAN;MINISTRO;25080;0;10918,7;14161,3
2012;ABRIL;IBARRA;ANDRES HORACIO;MINISTRO;25080;0;12018,2;13061,8
2012;ABRIL;REYBAUD;GRACIELA MABEL;MINISTRO;20064;0;8905,97;11158
2012;ABRIL;CLUSELLAS;PABLO;SECRETARIO LEGAL Y TECNICO;23826;0;9546,42;14279,6
2012;ABRIL;DE GODOY;MIGUEL ANGEL;SECRETARIO MEDIOS;23826;0;10569,2;13256,8
2012;ABRIL;KLEMENSIEWICZ;MARINA;SECRETARIA HABITAT;23826;0;9640,05;14186
2012;ABRIL;MACCHIAVELLI;EDUARDO ALBERTO;SECRETARIO ATENC.CIUD;24365;539;10173,5;14191,5
2012;ABRIL;LOSTRI;HECTOR ANTONIO;SECRETARIO GRAL. PLANEAMIENTO;25080;0;10178,5;14901,5
2012;ABRIL;PEÑA;MARCOS;SECRETARIO GENERAL;25382;302;10846,5;14535,5
2012;ABRIL;SALVAI;CARLOS FEDERICO;SECRETARIO GRAL. DES.CUIDADANO;23826;0;11376,1;12449,9
2012;ABRIL;GAYTAN;PABLO;SECRETARIO GRAL COMUNICACIÓN;23826;0;10569,2;13256,8
2012;MAYO;MACRI;MAURICIO;JEFE DE GOBIERNO;6300;0;1089,9;5210,1
2012;MAYO;VIDAL;MARIA EUGENIA;VICEJEFA DE GOBIERNO;31652,2;0;19190,3;12461,8
2012;MAYO;RODRIGUEZ LARRETA;HORACIO ANTONIO;JEFE DE GABINETE;25080;0;12134,2;12945,8
2012;MAYO;GRINDETTI;NESTOR OSVALDO;MINISTRO;25080;0;10580;14500
2012;MAYO;BULLRICH;ESTEBAN JOSE;MINISTRO;25080;0;12092,9;12987,1
2012;MAYO;CABRERA;FRANCISCO ADOLFO;MINISTRO;25080;0;10768,8;14311,2
2012;MAYO;CHAIN;DANIEL GUSTAVO;MINISTRO;25080;0;11433,3;13646,7
2012;MAYO;MONZO;EMILIO;MINISTRO;25711,5;631,5;11827,2;13884,3
2012;MAYO;STANLEY;CAROLINA;MINISTRO;25080;0;10960,3;14119,7
2012;MAYO;LOMBARDI;HERNAN SANTIAGO;MINISTRO;25080;0;10636,8;14443,2
2012;MAYO;SANTILLI;DIEGO CESAR;MINISTRO;25080;0;10720,3;14359,7
2012;MAYO;MONTENEGRO;GUILLERMO TRISTAN;MINISTRO;25080;0;11022,1;14057,9
2012;MAYO;IBARRA;ANDRES HORACIO;MINISTRO;25080;0;12217;12863
2012;MAYO;REYBAUD;GRACIELA MABEL;MINISTRO;20064;0;8985,49;11078,5
2012;MAYO;CLUSELLAS;PABLO;SECRETARIO LEGAL Y TECNICO;23826;0;9667,59;14158,4
2012;MAYO;DE GODOY;MIGUEL ANGEL;SECRETARIO MEDIOS;23826;0;10569,2;13256,8
2012;MAYO;KLEMENSIEWICZ;MARINA;SECRETARIA HABITAT;23826;0;9740,75;14085,3
2012;MAYO;MACCHIAVELLI;EDUARDO ALBERTO;SECRETARIO ATENC.CIUD;24365;539;10400,4;13964,6
